Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined,comment
LengthTaintStrategy,3307621814_979267_2_511,3307621814,0,0,688,NOT_FLIPPED,5.888938903808594e-05,17,18,164,1,10,688,1219,0,9024,1,Wrong statement
LengthTaintStrategy,1333003319_962516_2_255,1333003319,0,0,242,NOT_FLIPPED,8.320808410644531e-05,12,-,-,-,-,242,1001,0,2394,1,Wrong statement
LengthTaintStrategy,3307644023_84911_1_32,3307644023,0,0,87,NOT_FLIPPED,4.863739013671875e-05,11,18,164,35,0,87,96,0,538,1,Wrong statement
LengthTaintStrategy,3307644023_1013586_0_32,3307644023,0,0,193,NOT_FLIPPED,4.792213439941406e-05,5,18,164,35,0,193,694,0,656,1,Wrong statement
LengthTaintStrategy,3307705205_384186_1_38,3307705205,0,0,766,NOT_FLIPPED,5.412101745605469e-05,9,122,792,2,0,766,1238,0,3271,1,Wrong statement
LengthTaintStrategy,1239199518_45251_0_38,1239199518,0,0,374,NOT_FLIPPED,4.267692565917969e-05,18,32,323,22,0,374,997,0,4090,1,Wrong statement
LengthTaintStrategy,3307666496_509569_0_288,3307666496,0,0,220,NOT_FLIPPED,2.0265579223632812e-05,7,122,792,97,0,220,685,0,776,1,Wrong statement
LengthTaintStrategy,3307644023_249878_0_32,3307644023,0,0,497,NOT_FLIPPED,6.198883056640625e-05,15,18,164,35,0,497,982,0,5700,1,Wrong statement
LengthTaintStrategy,3307656662_509569_0_34,3307656662,0,0,34,NOT_FLIPPED,4.863739013671875e-05,1,122,792,40,0,34,256,0,20,1,Wrong statement
LengthTaintStrategy,3307621814_979267_2_255,3307621814,0,0,391,NOT_FLIPPED,4.076957702636719e-05,14,18,164,1,10,391,1001,0,4376,1,Wrong statement
