Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined,comment
GradientDescentStrategy,1883587346_547701_1_32,1883587346,2779,2779,1044,MAXIMUM_EXECUTION_TIME_REACHED,15.002269077301026,1,40,367,38,0,1044,1207,0,12,5,random
GradientDescentStrategy,1484514599_386078_0_288,1484514599,0,0,220,NOT_FLIPPED,0.00332789421081543,0,-,-,-,-,220,1442,0,0,5,No offsets
GradientDescentStrategy,2243554046_571639_1_34,2243554046,0,3,414,FLIPPED_CONDITION,0.022057151794433592,1,69,193,10,0,414,1796,1,1,5,
GradientDescentStrategy,3491171900_411354_0_34,3491171900,858,858,2335,MAXIMUM_EXECUTION_TIME_REACHED,15.014665889739991,2,40,367,2,0,2335,2501,0,1114,5,random
GradientDescentStrategy,1312654086_652833_0_288,1312654086,451,451,300,MAXIMUM_EXECUTION_TIME_REACHED,15.05076880455017,4,-,-,-,-,300,1218,0,227,5,random
GradientDescentStrategy,474413224_226656_2_255,474413224,0,1,334,FLIPPED_CONDITION,0.01343235969543457,1,77,773,9,6,334,1895,1,5,5,
GradientDescentStrategy,3491158370_411354_1_32771,3491158370,0,0,2176,NOT_FLIPPED,4.6873092651367186e-05,0,40,367,4,0,2176,2860,0,0,5,No offsets
GradientDescentStrategy,1423270264_585886_0_32771,1423270264,0,0,67,NOT_FLIPPED,4.353523254394531e-05,0,77,773,27,0,67,756,0,0,5,No offsets
GradientDescentStrategy,3491188466_767732_1_288,3491188466,6462,6462,615,MAXIMUM_EXECUTION_TIME_REACHED,15.000812339782716,1,100,668,14,0,615,1373,0,2,5,random
GradientDescentStrategy,1068141035_324723_0_36,1068141035,0,0,324,NOT_FLIPPED,4.711151123046875e-05,0,32,383,33,0,324,1058,0,0,5,No offsets
GradientDescentStrategy,3219368277_652833_1_32,3219368277,2326,2326,288,MAXIMUM_EXECUTION_TIME_REACHED,15.005272817611694,1,65,650,1,0,288,1125,0,12,5,random
GradientDescentStrategy,3219374910_483025_0_32770,3219374910,2194,2194,525,MAXIMUM_EXECUTION_TIME_REACHED,15.000728797912597,3,165,1400,3,0,525,1414,0,3,5,random
GradientDescentStrategy,3219395073_160617_0_34,3219395073,0,0,523,NOT_FLIPPED,4.5871734619140626e-05,0,165,1400,2,0,523,1342,0,0,5,No offsets
GradientDescentStrategy,3491162726_967053_0_32771,3491162726,0,0,568,NOT_FLIPPED,4.978179931640625e-05,0,334,2206,679,0,568,1026,0,0,5,No offsets
GradientDescentStrategy,474418438_114499_1_36,474418438,0,0,343,NOT_FLIPPED,3.905296325683594e-05,0,77,773,9,0,343,1715,0,0,5,No offsets
GradientDescentStrategy,3491163980_377632_1_32771,3491163980,0,0,1179,NOT_FLIPPED,5.364418029785156e-05,0,334,2206,679,0,1179,1182,0,0,5,No offsets
GradientDescentStrategy,3831542430_982388_1_32771,3831542430,0,0,846,NOT_FLIPPED,5.168914794921875e-05,0,7,58,2,0,846,1225,0,0,5,No offsets
GradientDescentStrategy,3491171768_377632_0_34,3491171768,0,0,1151,NOT_FLIPPED,4.634857177734375e-05,0,334,2206,679,0,1151,1632,0,0,5,No offsets
GradientDescentStrategy,2957881268_1013869_1_36,2957881268,0,0,750,NOT_FLIPPED,4.9161911010742185e-05,0,73,631,3,0,750,770,0,0,5,No offsets
GradientDescentStrategy,2071568818_531965_0_32,2071568818,2533,2533,395,MAXIMUM_EXECUTION_TIME_REACHED,15.001216173171997,6,9,98,5,0,395,1127,0,1319,5,random
GradientDescentStrategy,1883630807_938215_1_288,1883630807,6639,6639,820,MAXIMUM_EXECUTION_TIME_REACHED,15.00135931968689,1,27,314,10,0,820,910,0,74,5,random
GradientDescentStrategy,3219392730_767489_0_32,3219392730,0,1,425,FLIPPED_CONDITION,0.014059972763061524,3,165,1400,24,0,425,1252,1,108,5,
GradientDescentStrategy,628385639_483025_0_32,628385639,9851,9851,558,MAXIMUM_EXECUTION_TIME_REACHED,15.000724935531617,2,165,1400,24,0,558,1413,0,88,5,random
GradientDescentStrategy,1883553587_377632_0_32771,1883553587,0,0,1113,NOT_FLIPPED,4.420280456542969e-05,0,334,2206,680,0,1113,1442,0,0,5,No offsets
GradientDescentStrategy,3219373062_27448_2_255,3219373062,0,1,297,FLIPPED_CONDITION,0.005484437942504883,1,165,1400,10,4,297,1163,1,16,5,
GradientDescentStrategy,3219392499_767489_0_32770,3219392499,3591,3591,428,MAXIMUM_EXECUTION_TIME_REACHED,15.000731277465821,3,165,1400,3,0,428,1283,0,6,5,random
GradientDescentStrategy,573364250_549252_1_32,573364250,6948,6948,363,MAXIMUM_EXECUTION_TIME_REACHED,15.000759172439576,1,-,-,-,-,363,1321,0,2,5,random
GradientDescentStrategy,3219395073_767489_0_32771,3219395073,0,0,400,NOT_FLIPPED,5.4788589477539065e-05,0,165,1400,2,0,400,1265,0,0,5,No offsets
GradientDescentStrategy,2957870774_1013869_0_288,2957870774,325,997,1029,MAXIMUM_EXECUTION_TIME_REACHED,15.0030282497406,1,73,631,10,0,1029,1061,0,158,5,random
GradientDescentStrategy,2957885789_1013869_0_288,2957885789,0,3,1307,FLIPPED_CONDITION,0.11798362731933594,1,73,631,4,0,1307,1463,1,184,5,
