Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined
MagicByteStrategy,3229184935_365515_0_32,3229184935,0,0,0,NOT_FLIPPED,2.5510787963867188e-05,0,3,36,9,0,0,5,0,0,1
MagicByteStrategy,1903821363_930920_1_32771,1903821363,0,0,124,NOT_FLIPPED,5.9604644775390625e-05,0,37,512,5,0,124,133,0,0,1
MagicByteStrategy,1903821363_520974_1_32,1903821363,0,0,123,NOT_FLIPPED,4.863739013671875e-05,0,37,512,5,0,123,133,0,0,1
MagicByteStrategy,1416573618_582185_0_36,1416573618,0,1,197,FLIPPED_CONDITION,0.0036971569061279297,13,246,2690,29,0,197,200,1,272,1
MagicByteStrategy,1903826874_582185_1_32771,1903826874,0,0,185,NOT_FLIPPED,7.009506225585938e-05,0,246,2690,5,0,185,190,0,0,1
MagicByteStrategy,1903825224_1037775_1_32771,1903825224,0,0,150,NOT_FLIPPED,5.269050598144531e-05,0,37,512,39,0,150,235,0,0,1
MagicByteStrategy,1903852713_726465_0_34,1903852713,0,1,127,FLIPPED_CONDITION,0.00502467155456543,2,14,206,14,0,127,142,1,2,1
MagicByteStrategy,1903850337_520974_1_40,1903850337,0,1,141,FLIPPED_CONDITION,0.002646923065185547,1,37,512,3,0,141,142,1,1,1
MagicByteStrategy,1903841097_539393_2_511,1903841097,12,14,202,NOT_FLIPPED,0.10261917114257812,1,14,206,3,2,202,238,0,52,1
MagicByteStrategy,1903833210_582185_1_32,1903833210,0,0,132,NOT_FLIPPED,5.435943603515625e-05,0,246,2690,24,0,132,151,0,0,1
MagicByteStrategy,3229184935_610685_1_32771,3229184935,0,0,152,NOT_FLIPPED,6.365776062011719e-05,0,3,36,9,0,152,235,0,0,1
MagicByteStrategy,1834228663_520974_0_32,1834228663,0,0,131,NOT_FLIPPED,3.0279159545898438e-05,0,-,-,-,-,131,143,0,0,1
MagicByteStrategy,1903848753_539393_0_32771,1903848753,0,0,56,NOT_FLIPPED,5.626678466796875e-05,0,12,153,19,0,56,89,0,0,1
MagicByteStrategy,3229184935_933058_1_32,3229184935,0,0,135,NOT_FLIPPED,5.1021575927734375e-05,0,3,36,9,0,135,139,0,0,1
MagicByteStrategy,1834228663_520974_1_32771,1834228663,0,0,132,NOT_FLIPPED,3.6716461181640625e-05,0,-,-,-,-,132,139,0,0,1
MagicByteStrategy,1903877529_96084_1_32,1903877529,0,3,140,FLIPPED_CONDITION,0.009341716766357422,2,37,512,3,0,140,141,1,2,1
MagicByteStrategy,1903877529_1037775_1_32,1903877529,0,3,140,FLIPPED_CONDITION,0.008025169372558594,2,37,512,3,0,140,141,1,2,1
MagicByteStrategy,1903834101_96084_1_288,1903834101,0,1,135,FLIPPED_CONDITION,0.005337238311767578,2,37,512,21,0,135,168,1,2,1
MagicByteStrategy,4098450800_582185_0_34,4098450800,14,14,145,NOT_FLIPPED,0.20495009422302246,1,14,156,10,0,145,235,0,5,1
MagicByteStrategy,3229184935_582185_1_32,3229184935,0,0,87,NOT_FLIPPED,4.649162292480469e-05,0,3,36,9,0,87,89,0,0,1
