Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined
RandomStrategy,98932905_151922_0_294,98932905,16122,25004,200,MAXIMUM_EXECUTION_TIME_REACHED,15.000338792800903,1,31,339,6,0,200,202,0,2,5
RandomStrategy,98928384_168856_1_32771,98928384,832,1318,245,MAXIMUM_EXECUTION_TIME_REACHED,15.000249433517457,0,4,32,4,0,245,247,0,0,5
RandomStrategy,98917824_131172_0_288,98917824,2951,13349,137,MAXIMUM_EXECUTION_TIME_REACHED,15.000545454025268,2,54,420,2,0,137,240,0,2,5
RandomStrategy,98909640_93985_0_32,98909640,338,1522,129,MAXIMUM_EXECUTION_TIME_REACHED,15.006352043151855,0,4,32,4,0,129,238,0,0,5
RandomStrategy,98928384_438460_1_32771,98928384,5778,8928,258,MAXIMUM_EXECUTION_TIME_REACHED,15.000198984146119,0,4,32,4,0,258,260,0,0,5
RandomStrategy,296742187_145288_0_40,296742187,1,803,28,MAXIMUM_EXECUTION_TIME_REACHED,15.004964876174927,1,-,-,-,-,28,39,0,6,5
RandomStrategy,98898321_131172_1_32,98898321,0,276,11,FLIPPED_CONDITION,0.2422402858734131,1,54,420,3,0,11,12,1,1,5
RandomStrategy,98924853_211100_1_38,98924853,23,6491,25,FLIPPED_CONDITION,1.5549932956695556,1,22,149,2,0,25,26,1,3,5
RandomStrategy,98924853_74179_0_38,98924853,2,956,26,MAXIMUM_EXECUTION_TIME_REACHED,15.006895589828492,1,22,149,2,0,26,40,0,3,5
RandomStrategy,296771689_74179_1_40,296771689,346,548,232,FLIPPED_CONDITION,0.5578152656555175,1,22,149,5,0,232,244,1,5,5
RandomStrategy,98928384_35527_0_32,98928384,2642,2642,308,MAXIMUM_EXECUTION_TIME_REACHED,15.00340723991394,0,4,32,4,0,308,393,0,0,5
RandomStrategy,296863066_131172_0_38,296863066,9,25,250,FLIPPED_CONDITION,0.1471424102783203,1,54,420,2,0,250,256,1,2,5
RandomStrategy,98899872_950909_0_32,98899872,2,2504,9,MAXIMUM_EXECUTION_TIME_REACHED,15.003166675567627,0,6,61,4,0,9,38,0,0,5
RandomStrategy,98950857_261390_0_294,98950857,219,369,199,FLIPPED_CONDITION,0.7711719989776611,1,22,149,3,0,199,202,1,1,5
RandomStrategy,98924853_123985_0_38,98924853,471,473,219,MAXIMUM_EXECUTION_TIME_REACHED,15.025749778747558,1,22,149,2,0,219,234,0,3,5
RandomStrategy,98909640_20309_1_32771,98909640,182,297,431,FLIPPED_CONDITION,0.3535455226898193,0,4,32,4,0,431,435,1,0,5
RandomStrategy,2191539794_169184_0_38,2191539794,665,990,227,FLIPPED_CONDITION,4.685299730300903,2,-,-,-,-,227,243,1,4,5
RandomStrategy,98927229_153580_0_32,98927229,703,703,272,MAXIMUM_EXECUTION_TIME_REACHED,15.028292465209962,1,4,32,3,0,272,371,0,1,5
