Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases
RandomStrategy,2425532298_129207_0_32,2425532298,33,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05059981346130371,1,86,322,2,0
RandomStrategy,3307621814_67621_0_255,3307621814,54,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.046784162521362305,3,18,164,1,10
RandomStrategy,3307644023_201246_0_32,3307644023,75,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.048655033111572266,9,18,164,35,0
RandomStrategy,3393615927_45251_1_34,3393615927,88,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.0457916259765625,18,32,323,25,0
RandomStrategy,1844769890_645526_1_32,1844769890,64,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04779195785522461,6,-,-,-,-
RandomStrategy,3999247558_509569_0_32,3999247558,56,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.0506744384765625,2,122,792,46,0
RandomStrategy,3307621814_84911_0_255,3307621814,88,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04788398742675781,9,18,164,1,10
RandomStrategy,3307645574_833007_1_34,3307645574,53,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04970717430114746,9,122,792,17,0
RandomStrategy,3307644023_52882_0_32,3307644023,72,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.046692609786987305,9,18,164,35,0
RandomStrategy,3307621814_979267_2_255,3307621814,80,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04667854309082031,14,18,164,1,10
RandomStrategy,3999194692_962516_0_34,3999194692,91,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05195188522338867,14,122,792,152,0
RandomStrategy,3307656662_384186_1_34,3307656662,68,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04856252670288086,9,122,792,40,0
RandomStrategy,3307644023_875807_1_288,3307644023,81,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04784274101257324,15,18,164,35,0
RandomStrategy,3307660292_384186_0_34,3307660292,70,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.047965288162231445,2,122,792,90,0
RandomStrategy,3478223211_45251_0_34,3478223211,8,123,0,FLIPPED_CONDITION,0.007437229156494141,2,32,323,18,0
RandomStrategy,3307621814_164509_2_255,3307621814,92,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.047693490982055664,7,18,164,1,10
RandomStrategy,3307644023_896686_1_32,3307644023,31,504,0,FLIPPED_CONDITION,0.02701258659362793,11,18,164,35,0
RandomStrategy,3307644023_242622_1_32,3307644023,72,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04651069641113281,9,18,164,35,0
RandomStrategy,3478211694_770989_1_32,3478211694,74,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04595780372619629,11,32,323,8,0
RandomStrategy,3307621814_927923_2_255,3307621814,88,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04732656478881836,7,18,164,1,10
