cmpid, context, order, belong, p, op, condition, is_desirable, offsets, state
1163143332, 188868, 1, 41, 65535, 255, 2, 37, 30, false, , OneByte
1163143332, 188868, 65537, 41, 65535, 255, 2, 37, 35, false, , OneByte
1163143332, 188868, 131073, 41, 65535, 255, 2, 37, 33, false, , OneByte
1163143332, 188868, 196609, 41, 65535, 255, 2, 37, 32, true, , OneByte
1163143332, 188868, 262145, 41, 65535, 255, 2, 37, 31, true, , OneByte
1163143332, 188868, 327681, 28, 65535, 255, 2, 65, 37, true, , OneByte
1163143332, 188868, 393217, 41, 65535, 255, 2, 37, 38, true, , OneByte
1163143332, 188868, 458753, 41, 65535, 255, 2, 37, 39, true, , OneByte
762865291, 188868, 65540, 42, 65535, 32771, 2, 1, 1, true, , Offset
2288608249, 188868, 65540, 42, 65535, 32771, 2, 1, 1, true, , Offset
2675955822, 436043, 65537, 42, 65535, 32771, 2, 1, ffffffffffffffff, true, , Offset
1115491034, 188868, 65537, 42, 65535, 32771, 2, 1, 1, true, , Offset
1163144388, 188868, 2, 42, 65535, 32, 2, 66, 53, true, , OneByte
1163157456, 188868, 1, 42, 65535, 32, 2, 66, d, true, , OneByte
1163171613, 188868, 1, 28, 65535, 32, 2, 64, a, true, , OneByte
1163137953, 188868, 1, 42, 65535, 255, 2, 66, 20, true, , OneByte
1163137953, 188868, 65537, 667, 65535, 255, 0, 20, d, true, 36-37, Unsolvable
1163137953, 188868, 131073, 42, 65535, 255, 2, 66, 24, true, , OneByte
1163137689, 134267, 1, 133, 65535, 288, 0, 66, ffffffff, true, 43-44, Unsolvable
1163142342, 134267, 1, 133, 65535, 16416, 0, 66, 0, true, 43-44, Unsolvable
1878346490, 134267, 1, 28, 65535, 32, 2, 10, 0, true, , OneByte
762865291, 188868, 65541, 60, 65535, 32771, 2, 1, 1, true, , Offset
2288608249, 188868, 65541, 81, 65535, 32771, 2, 3, 3, true, , Offset
2675955822, 436043, 65538, 81, 65535, 32771, 2, 1, ffffffffffffffff, true, , Offset
1115491034, 188868, 65538, 81, 65535, 32771, 2, 1, 1, true, , Offset
1163144388, 188868, 3, 81, 65535, 32, 2, 3a, 53, true, , OneByte
1163157456, 188868, 2, 60, 65535, 32, 2, be, d, true, , OneByte
1163171613, 188868, 2, 60, 65535, 32, 2, be, a, true, , OneByte
2523162679, 848649, 1, 31, 65535, 32, 2, 6c, 46, true, , OneByte
2523052690, 848649, 1, 31, 65535, 32, 2, 6c, 46, true, , OneByte
1233627635, 141617, 1, 31, 65535, 32, 2, 6c, 46, true, , OneByte
1232637734, 141617, 1, 31, 65535, 32, 2, 6c, 46, true, , OneByte
3709703441, 450235, 1, 32, 65535, 32, 2, e70dc4b7, 0, true, , Offset
3709736111, 450235, 1, 32, 65535, 32, 2, 367d78, 0, true, , Offset
